,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,Gender,NumberOfDeviceRegistered,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,avg_cashbk_per_order,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_DC,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop,PreferedOrderCat_Mobile,PreferedOrderCat_Others,Churn
0,4.0,1,3,6.0,0,3,2,2,9,1,5.0,159.93,159.93,0,0,1,0,0,0,0,1,0,0,1
1,10.0,1,1,8.0,1,4,3,2,7,1,0.0,120.9,120.9,0,0,0,0,1,0,0,0,1,0,1
2,10.0,1,1,30.0,1,4,3,2,6,1,3.0,120.28,120.28,0,0,1,0,0,0,0,0,1,0,1
3,0.0,1,3,15.0,1,4,5,2,8,0,3.0,134.07,134.07,0,0,1,0,0,0,0,1,0,0,1
4,0.0,1,1,12.0,1,3,5,2,3,0,3.0,129.6,129.6,1,0,0,0,0,0,0,0,1,0,1
5,0.0,0,1,22.0,0,5,5,2,2,1,7.0,139.19,23.198333333333334,0,0,1,0,0,0,0,0,1,0,1
6,10.0,1,3,11.0,1,3,2,0,4,0,0.0,120.86000000000001,120.86000000000001,0,1,0,0,0,0,0,1,0,0,1
7,10.0,1,1,6.0,1,3,2,0,3,1,0.0,122.93,61.465,1,0,0,0,0,0,0,0,1,0,1
8,13.0,1,3,9.0,1,4,3,0,2,1,2.0,126.83000000000001,126.83000000000001,0,0,0,1,0,0,0,0,1,0,1
9,10.0,1,1,31.0,1,5,3,2,2,0,1.0,122.93,122.93,0,0,1,0,0,0,0,0,1,0,1
10,4.0,1,1,18.0,0,3,3,0,2,0,8.0,295.45,19.696666666666665,0,1,0,0,0,0,0,0,0,1,1
11,11.0,1,1,6.0,1,4,3,2,10,1,0.0,153.81,153.81,0,0,1,0,0,1,0,0,0,0,1
12,0.0,1,1,11.0,1,3,3,2,2,1,2.0,134.41,67.205,0,1,0,0,0,0,0,0,1,0,1
13,0.0,1,1,15.0,1,4,3,0,1,1,0.0,133.88,133.88,1,0,0,0,0,0,0,0,1,0,1
14,9.0,1,3,15.0,1,4,2,2,2,0,7.0,196.19,49.0475,1,0,0,0,0,1,0,0,0,0,1
15,10.0,1,2,12.0,1,3,5,1,5,1,2.0,120.72999999999999,120.72999999999999,0,0,0,0,1,0,0,0,1,0,1
16,0.0,0,1,12.0,0,4,2,2,2,1,0.0,129.26,129.26,0,0,1,0,0,0,0,0,1,0,1
17,0.0,1,3,11.0,1,4,3,2,2,1,3.0,157.44,157.44,0,0,0,1,0,0,0,1,0,0,1
18,0.0,0,1,13.0,1,5,3,2,2,1,6.0,160.74,160.74,0,0,1,0,0,0,0,1,0,0,1
19,19.0,1,1,20.0,0,3,4,0,10,1,3.0,149.63,37.4075,0,0,1,0,0,0,0,0,1,0,1
20,0.0,1,3,12.0,1,5,3,0,5,1,7.0,161.72,23.102857142857143,0,0,1,0,0,0,0,1,0,0,1
21,20.0,1,1,29.0,0,3,2,0,2,0,6.0,203.12,13.541333333333334,1,0,0,0,0,1,0,0,0,0,1
22,10.0,1,3,28.0,1,3,3,2,2,1,0.0,116.75,116.75,0,0,0,1,0,0,0,0,1,0,1
23,0.0,1,3,26.0,0,5,3,0,4,1,2.0,145.59,72.795,0,0,1,0,0,0,0,1,0,0,1
24,14.0,0,1,14.0,1,5,2,2,3,0,3.0,206.5,206.5,0,0,1,0,0,1,0,0,0,0,1
25,0.0,1,1,15.0,0,3,5,2,8,0,4.0,142.0,142.0,1,0,0,0,0,0,0,0,1,0,1
26,8.0,1,3,6.0,1,3,4,0,2,0,6.0,172.95,172.95,0,0,0,1,0,1,0,0,0,0,0
27,10.0,1,3,12.0,1,3,3,0,3,1,5.0,123.06,30.765,0,0,0,1,0,0,0,1,0,0,0
